"","ID","Valence","Arousal","Tendency_Approach","V.H","Description","Category_Valence","Category_Arousal"
"172","Faces_173_v",3.1875,5.9796,3.5306,"v","Hurting Man","Negative","Aroused"
"173","People_094_h",3.1957,5.9362,3.766,"h","Garbage","Negative","Aroused"
"174","Landscapes_017_h",3.2115,5.8868,3.4615,"h","Waste","Negative","Aroused"
"175","People_084_h",3.2292,6.7083,3.8125,"h","Soldier","Negative","Aroused"
"176","Faces_034_h",3.2308,6.6825,3.9688,"h","Sick Child","Negative","Aroused"
"177","Animals_017_v",3.234,5.5417,3.1875,"v","Dead Bird","Negative","Aroused"
"178","People_088_v",3.2353,6.9608,4.0784,"v","Soldier","Negative","Aroused"
"179","Faces_011_h",3.25,5.4167,4.8913,"h","Sick Child","Negative","Neutral"
"180","People_098_h",3.2653,6.9592,4.3061,"h","Fire","Negative","Aroused"
"181","Objects_126_h",3.2771,6.241,3.1905,"h","Glass","Negative","Aroused"
"182","Faces_285_h",3.2917,6.1042,3.2917,"h","Homeless Woman","Negative","Aroused"
"183","Landscapes_010_h",3.2917,5.3265,4.0625,"h","Devastated Houses","Negative","Neutral"
"184","Landscapes_029_v",3.3,6.0392,3.6863,"v","Flooded Building","Negative","Aroused"
"185","People_121_h",3.3061,5.94,4.14,"h","Homeless Man","Negative","Aroused"
"186","Objects_154_h",3.32,6.22,3.3265,"h","Blood","Negative","Aroused"
"187","Objects_111_h",3.3231,5.875,3.4844,"h","Doll","Negative","Aroused"
"188","Landscapes_014_h",3.3333,5.5106,3.4167,"h","Waste And Houses","Negative","Aroused"
"189","Animals_018_h",3.3404,6.1702,3.1489,"h","Dead Frog","Negative","Aroused"
"190","Faces_150_h",3.3404,6,3.0833,"h","Sick Man","Negative","Aroused"
"191","People_071_h",3.3542,6.3061,4.1633,"h","Man With Gun","Negative","Aroused"
"192","People_120_h",3.3607,5.8136,3.4426,"h","Homeless Man","Negative","Aroused"
"193","People_206_h",3.3617,6.3191,3.1739,"h","Burns","Negative","Aroused"
"194","Objects_110_v",3.3617,5.766,2.7174,"v","Toilet","Negative","Aroused"
"195","People_010_h",3.3673,6.14,4.18,"h","Accident","Negative","Aroused"
"196","Objects_006_h",3.3731,6.1493,2.7826,"h","Meat","Negative","Aroused"
"197","People_072_v",3.38,6.24,4.26,"v","Knuckle Duster","Negative","Aroused"
"198","Objects_148_h",3.3871,6.6984,4.0323,"h","Guns And Handcuffs","Negative","Aroused"
"199","People_090_v",3.4,6.2245,3.16,"v","Excrement","Negative","Aroused"
"200","Faces_274_h",3.4043,6.6875,3.6875,"h","Man With Guns","Negative","Aroused"
"201","People_214_h",3.4091,6.4179,3.9552,"h","Skeletons","Negative","Aroused"
"202","Objects_218_h",3.4118,5.8431,3.3922,"h","Garbage","Negative","Aroused"
"203","Faces_298_h",3.413,6.3404,3.383,"h","Fighter","Negative","Aroused"
"204","Faces_158_h",3.4167,6.4468,4.3542,"h","Sad Man","Negative","Aroused"
"205","People_245_v",3.4167,5.898,3.2245,"v","Skin Disease","Negative","Aroused"
"206","People_230_h",3.4265,6.6029,3.1493,"h","Surgery","Negative","Aroused"
"207","People_025_v",3.4286,6.3137,3.2745,"v","Butcher","Negative","Aroused"
"208","Faces_176_h",3.4375,6.1064,3.4167,"h","Elderly Woman","Negative","Aroused"
"209","Objects_158_h",3.4468,5.875,4.0208,"h","Doll Arm","Negative","Aroused"
"210","Objects_188_v",3.449,5.4898,3.551,"v","Dustbin","Negative","Neutral"
"211","People_070_v",3.451,6.6667,4,"v","Gun","Negative","Aroused"
"212","Objects_170_v",3.46,5.8776,2.8571,"v","Toilet","Negative","Aroused"
"213","Objects_013_h",3.4681,6.2708,3.1458,"h","Meat","Negative","Aroused"
"214","Objects_145_h",3.4694,5.1633,4.04,"h","Coffins","Negative","Neutral"
"215","People_123_h",3.4706,6.2353,4.2941,"h","Fireman","Negative","Aroused"
"216","People_224_h",3.4889,6.5581,2.8667,"h","Surgery","Negative","Aroused"
"217","Faces_271_h",3.4894,6.4792,3.7083,"h","Men With Guns","Negative","Aroused"
"218","Objects_039_h",3.4894,5.7083,3.1633,"h","Fish","Negative","Aroused"
"219","Animals_053_h",3.4898,5.7347,4.9796,"h","Monkey","Negative","Aroused"
"220","Faces_288_h",3.5102,5.9184,3.7143,"h","Woman","Negative","Aroused"
"221","Animals_041_h",3.5156,6.5938,2.6875,"h","Insect","Negative","Aroused"
"222","Faces_369_v",3.5161,6.1846,3.5469,"v","Mutilated Face","Negative","Aroused"
"223","People_129_h",3.52,6.0816,3.48,"h","Wound","Negative","Aroused"
"224","Objects_243_h",3.52,5.6531,3.76,"h","Bottle","Negative","Aroused"
"225","Landscapes_011_h",3.5217,5.6304,4.2391,"h","Devastated House","Negative","Aroused"
"226","Faces_269_v",3.5306,6.54,3.8163,"v","Soldier","Negative","Aroused"
"227","Landscapes_039_v",3.5319,5.5102,4.3673,"v","Devastated Building","Negative","Neutral"
"228","Faces_300_h",3.5333,6.0652,4.6809,"h","Elderly Man","Negative","Aroused"
