ID,Category,Nr,V/H,Description,Valence,Valence_SD,AvAp,AvAp_SD,Arousal,Arousal_SD,Width,Height,Luminance,Contrast,JPEG_size80,LABL,LABA,LABB,Entropy,Category_Valence,Category_Arousal,Neutral,Negative,Positive,
Faces_333_h,Faces,333,h,Woman Smiling,7.0204,1.2989,6.92,1.3679,4.102,1.9816,1600,1200,112.7456,80.7655,139132,45.9985,-1.8283,8.5595,7.6654,Positive,Relaxed,0,0,1,
Landscapes_034_h,Landscapes,34,h,Ruins,7.0377,1.344,7.1132,1.4366,4.2308,2.2805,1600,1200,173.5411,63.4026,509628,70.2225,-2.7995,13.2467,7.4984,Positive,Relaxed,0,0,1,
Landscapes_110_v,Landscapes,110,v,Rocks,7.04,1.5774,7.2041,1.4139,3.8571,2.3363,1200,1600,76.17,57.9749,446313,31.5166,4.9618,3.7144,7.1635,Positive,Relaxed,0,0,1,
Faces_105_h,Faces,105,h,Boy Playing,7.0417,1.2541,6.5208,1.2546,4.8043,1.7841,1600,1200,177.914,53.5591,268990,71.9684,-3.094,-5.474,6.6471,Positive,Neutral,0,0,0,
Objects_291_h,Objects,291,h,Car,7.0426,1.5737,7.3542,1.3126,6.7872,1.805,1600,1200,177.2482,28.7048,161700,72.7986,2.5403,-9.7767,5.5679,Positive,Aroused,0,0,0,
Objects_100_v,Objects,100,v,Meal,7.0495,1.4858,7.0297,1.6028,4.98,2.1129,1200,1600,159.9569,57.4702,272919,65.9524,7.5263,8.2946,7.6735,Positive,Neutral,0,0,0,
Landscapes_124_h,Landscapes,124,h,Flowers,7.0566,1.486,6.7885,1.3625,3.8491,2.1339,1600,1200,101.0938,57.3495,605977,42.6235,-14.7083,24.3647,7.7294,Positive,Relaxed,0,0,1,
Faces_257_v,Faces,257,v,Woman Smiling,7.0577,1.2432,6.8868,1.368,4.283,1.6569,1200,1600,136.2182,75.3389,205771,56.2843,7.5665,14.8635,7.858,Positive,Relaxed,0,0,1,
Landscapes_090_h,Landscapes,90,h,Church,7.0588,1.3178,7.02,1.2856,3.38,2.0091,1600,1200,132.0346,61.8025,307636,55.5839,-8.7752,-10.9648,7.6118,Positive,Relaxed,0,0,1,
People_180_h,People,180,h,Surfer,7.0597,1.1662,7.0896,1.4006,5.5224,2.3052,1600,1200,132.585,66.4563,420833,54.4359,-6.0983,0.5197,7.5381,Positive,Aroused,0,0,0,
Objects_171_h,Objects,171,h,Drums,7.0612,1.4493,6.8367,1.3439,5.3878,2.2529,1600,1200,61.7551,66.3476,215110,26.2904,9.7146,17.9065,6.7799,Positive,Neutral,0,0,0,
Objects_272_h,Objects,272,h,Sculptures,7.0625,1.479,6.6735,1.5862,4.5208,1.8334,1600,1200,100.7144,57.2793,475903,42.114,-11.8386,17.5265,7.7074,Positive,Relaxed,0,0,1,
Landscapes_126_h,Landscapes,126,h,Plants,7.0625,1.21,6.8163,1.2361,3.38,1.6274,1600,1200,113.47,64.2255,336766,47.6765,-20.7001,34.6246,7.8392,Positive,Relaxed,0,0,1,
